作者,id
刘禹锡,1
毛泽东,2
陆游,3
杜甫,4
贺知章,5
王安石,6
杜牧,7
白居易,8
郑燮,9
王冕,10
于谦,11
常建,12
苏轼,13
罗隐,14
骆宾王,15
元稹,16
刘义庆,17
刘桢,18
林逋,19
黄巢,20
李清照,21
虞世南,22
王磐,23
唐寅,24
刘禹锡,25
纳兰性德,26
杜荀鹤,27
王冕,28
黄巢,29
袁枚,30
骆宾王,31
刘禹锡,32
李商隐,33
陆游,34
王维,35
苏轼,36
张谓,37
李清照,38
贺铸,39
佚名,40
郑燮,41
李商隐,42
毛泽东,43
曹雪芹,44
元好问,45
纳兰性德,46
陈毅,47
寇准,48
李商隐,49
杜甫,50
曾巩,51
张九龄,52
唐寅,53
郑燮,54
姜夔,55
卢照邻,56
崔道融,57
苏轼,58
李清照,59
毛泽东,60
杜牧,61
刘禹锡,62
于谦,63
苏轼,64
杜甫,65
李商隐,66
杨万里,67
辛弃疾,68
严蕊,69
李清照,70
佚名,71
庾信,72
杜牧,73
班婕妤,74
李商隐,75
李纲,76
杨万里,77
周邦彦,78
张鸣善,79
齐己,80
苏轼,81
曹植,82
李清照,83
韩愈,84
杜牧,85
白居易,86
郑谷,87
陈与义,88
李清照,89
梅尧臣,90
姜夔,91
白居易,92
龚自珍,93
苏轼,94
张嵲,95
辛弃疾,96
李商隐,97
郑燮,98
郑燮,99
陆龟蒙,100
黄庭坚,101
王安石,102
王禹偁,103
郑谷,104
柳宗元,105
王勃,106
王十朋,107
何逊,108
苏轼,109
温庭筠,110
杨万里,111
柳宗元,112
钱起,113
辛弃疾,114
晁冲之,115
白居易,116
吴师道,117
辛弃疾,118
陈亮,119
晁补之,120
张九龄,121
王建,122
张炎,123
柳宗元,124
夏完淳,125
蔡松年,126
王维,127
罗隐,128
郑燮,129
苏轼,130
晏殊,131
佚名,132
陆游,133
陈亮,134
李商隐,135
柳如是,136
徐凝,137
牛峤,138
杜甫,139
曹组,140
史达祖,141
杜公瞻,142
黄庭坚,143
毛泽东,144
辛弃疾,145
陆游,146
储光羲,147
李商隐,148
张舜民,149
李群玉,150
史达祖,151
宋祁,152
杨万里,153
何希尧,154
白居易,155
来鹄,156
石涛,157
崔道融,158
孔绍安,159
嵇康,160
姜夔,161
陈知玄,162
曹雪芹,163
陈维崧,164
汪藻,165
曹雪芹,166
鲁迅,167
元稹,168
刘克庄,169
吴均,170
李清照,171
黄庭坚,172
辛弃疾,173
苏轼,174
王溥,175
秦观,176
曹雪芹,177
奥敦周卿,178
李白,179
谢懋,180
韦庄,181
李商隐,182
王沂孙,183
李商隐,184
钱珝,185
孙道绚,186
李白,187
辛弃疾,188
毛泽东,189
丘处机,190
苏轼,191
李世民,192
苏轼,193
姜夔,194
欧阳修,195
曹雪芹,196
刘克庄,197
杜甫,198
王十朋,199
韦承庆,200
鱼玄机,201
郑谷,202
刘因,203
李白,204
际智,205
郑燮,206
郑域,207
罗隐,208
李元膺,209
万俟咏,210
苏轼,211
杨万里,212
张炎,213
曹植,214
曹组,215
