作者id,关系,诗词id
1,作者,1
2,作者,2
3,作者,3
4,作者,4
5,作者,5
6,作者,6
7,作者,7
8,作者,8
9,作者,9
10,作者,10
11,作者,11
12,作者,12
13,作者,13
14,作者,14
15,作者,15
16,作者,16
17,作者,17
18,作者,18
19,作者,19
20,作者,20
21,作者,21
22,作者,22
23,作者,23
24,作者,24
25,作者,25
26,作者,26
27,作者,27
28,作者,28
29,作者,29
30,作者,30
31,作者,31
32,作者,32
33,作者,33
34,作者,34
35,作者,35
36,作者,36
37,作者,37
38,作者,38
39,作者,39
40,作者,40
41,作者,41
42,作者,42
43,作者,43
44,作者,44
45,作者,45
46,作者,46
47,作者,47
48,作者,48
49,作者,49
50,作者,50
51,作者,51
52,作者,52
53,作者,53
54,作者,54
55,作者,55
56,作者,56
57,作者,57
58,作者,58
59,作者,59
60,作者,60
61,作者,61
62,作者,62
63,作者,63
64,作者,64
65,作者,65
66,作者,66
67,作者,67
68,作者,68
69,作者,69
70,作者,70
71,作者,71
72,作者,72
73,作者,73
74,作者,74
75,作者,75
76,作者,76
77,作者,77
78,作者,78
79,作者,79
80,作者,80
81,作者,81
82,作者,82
83,作者,83
84,作者,84
85,作者,85
86,作者,86
87,作者,87
88,作者,88
89,作者,89
90,作者,90
91,作者,91
92,作者,92
93,作者,93
94,作者,94
95,作者,95
96,作者,96
97,作者,97
98,作者,98
99,作者,99
100,作者,100
101,作者,101
102,作者,102
103,作者,103
104,作者,104
105,作者,105
106,作者,106
107,作者,107
108,作者,108
109,作者,109
110,作者,110
111,作者,111
112,作者,112
113,作者,113
114,作者,114
115,作者,115
116,作者,116
117,作者,117
118,作者,118
119,作者,119
120,作者,120
121,作者,121
122,作者,122
123,作者,123
124,作者,124
125,作者,125
126,作者,126
127,作者,127
128,作者,128
129,作者,129
130,作者,130
131,作者,131
132,作者,132
133,作者,133
134,作者,134
135,作者,135
136,作者,136
137,作者,137
138,作者,138
139,作者,139
140,作者,140
141,作者,141
142,作者,142
143,作者,143
144,作者,144
145,作者,145
146,作者,146
147,作者,147
148,作者,148
149,作者,149
150,作者,150
151,作者,151
152,作者,152
153,作者,153
154,作者,154
155,作者,155
156,作者,156
157,作者,157
158,作者,158
159,作者,159
160,作者,160
161,作者,161
162,作者,162
163,作者,163
164,作者,164
165,作者,165
166,作者,166
167,作者,167
168,作者,168
169,作者,169
170,作者,170
171,作者,171
172,作者,172
173,作者,173
174,作者,174
175,作者,175
176,作者,176
177,作者,177
178,作者,178
179,作者,179
180,作者,180
181,作者,181
182,作者,182
183,作者,183
184,作者,184
185,作者,185
186,作者,186
187,作者,187
188,作者,188
189,作者,189
190,作者,190
191,作者,191
192,作者,192
193,作者,193
194,作者,194
195,作者,195
196,作者,196
197,作者,197
198,作者,198
199,作者,199
200,作者,200
201,作者,201
202,作者,202
203,作者,203
204,作者,204
205,作者,205
206,作者,206
207,作者,207
208,作者,208
209,作者,209
210,作者,210
211,作者,211
212,作者,212
213,作者,213
214,作者,214
215,作者,215
216,作者,216
217,作者,217
218,作者,218
219,作者,219
220,作者,220
221,作者,221
222,作者,222
223,作者,223
224,作者,224
225,作者,225
226,作者,226
227,作者,227
228,作者,228
229,作者,229
230,作者,230
231,作者,231
232,作者,232
233,作者,233
234,作者,234
235,作者,235
236,作者,236
237,作者,237
238,作者,238
239,作者,239
240,作者,240
241,作者,241
242,作者,242
243,作者,243
244,作者,244
245,作者,245
246,作者,246
247,作者,247
248,作者,248
249,作者,249
250,作者,250
251,作者,251
252,作者,252
253,作者,253
254,作者,254
255,作者,255
256,作者,256
257,作者,257
258,作者,258
259,作者,259
260,作者,260
261,作者,261
262,作者,262
263,作者,263
264,作者,264
265,作者,265
266,作者,266
267,作者,267
268,作者,268
269,作者,269
270,作者,270
271,作者,271
272,作者,272
273,作者,273
274,作者,274
275,作者,275
276,作者,276
277,作者,277
278,作者,278
279,作者,279
280,作者,280
281,作者,281
282,作者,282
283,作者,283
284,作者,284
285,作者,285
286,作者,286
287,作者,287
288,作者,288
289,作者,289
290,作者,290
291,作者,291
292,作者,292
293,作者,293
294,作者,294
295,作者,295
296,作者,296
297,作者,297
298,作者,298
299,作者,299
300,作者,300
301,作者,301
302,作者,302
303,作者,303
304,作者,304
305,作者,305
306,作者,306
307,作者,307
308,作者,308
309,作者,309
310,作者,310
311,作者,311
312,作者,312
313,作者,313
314,作者,314
315,作者,315
316,作者,316
317,作者,317
318,作者,318
319,作者,319
320,作者,320
321,作者,321
322,作者,322
323,作者,323
324,作者,324
325,作者,325
326,作者,326
327,作者,327
328,作者,328
329,作者,329
330,作者,330
331,作者,331
332,作者,332
333,作者,333
334,作者,334
335,作者,335
336,作者,336
337,作者,337
338,作者,338
339,作者,339
340,作者,340
341,作者,341
342,作者,342
343,作者,343
344,作者,344
345,作者,345
346,作者,346
347,作者,347
348,作者,348
349,作者,349
350,作者,350
351,作者,351
352,作者,352
353,作者,353
354,作者,354
355,作者,355
356,作者,356
357,作者,357
358,作者,358
359,作者,359
360,作者,360
361,作者,361
362,作者,362
363,作者,363
364,作者,364
365,作者,365
366,作者,366
367,作者,367
368,作者,368
369,作者,369
370,作者,370
371,作者,371
372,作者,372
373,作者,373
374,作者,374
375,作者,375
376,作者,376
377,作者,377
378,作者,378
