诗词,作者,朝代
陋室铭,刘禹锡,唐代
卜算子·咏梅,毛泽东,近现代
卜算子·咏梅,陆游,宋代
春夜喜雨,杜甫,唐代
咏柳 / 柳枝词,贺知章,唐代
梅花,王安石,宋代
阿房宫赋,杜牧,唐代
草 / 赋得古原草送别,白居易,唐代
竹石,郑燮,清代
墨梅,王冕,元代
石灰吟,于谦,明代
题破山寺后禅院,常建,唐代
水龙吟·次韵章质夫杨花词,苏轼,宋代
蜂,罗隐,唐代
陋室铭,刘禹锡,唐代
卜算子·咏梅,毛泽东,近现代
卜算子·咏梅,陆游,宋代
春夜喜雨,杜甫,唐代
咏柳 / 柳枝词,贺知章,唐代
梅花,王安石,宋代
阿房宫赋,杜牧,唐代
草 / 赋得古原草送别,白居易,唐代
竹石,郑燮,清代
墨梅,王冕,元代
石灰吟,于谦,明代
题破山寺后禅院,常建,唐代
水龙吟·次韵章质夫杨花词,苏轼,宋代
蜂,罗隐,唐代
咏鹅,骆宾王,唐代
菊花,元稹,唐代
咏雪 / 咏雪联句,刘义庆,南北朝
赠从弟·其二,刘桢,两汉
山园小梅二首,林逋,宋代
不第后赋菊 / 菊花,黄巢,唐代
鹧鸪天·桂花,李清照,宋代
蝉,虞世南,唐代
朝天子·咏喇叭,王磐,明代
画鸡,唐寅,明代
赏牡丹,刘禹锡,唐代
临江仙·寒柳,纳兰性德,清代
小松,杜荀鹤,唐代
白梅,王冕,元代
题菊花,黄巢,唐代
苔,袁枚,清代
咏蝉 / 在狱咏蝉,骆宾王,唐代
金陵五题·石头城,刘禹锡,唐代
赠荷花,李商隐,唐代
梅花绝句二首·其一,陆游,宋代
辛夷坞,王维,唐代
花影,苏轼,宋代
早梅,张谓,唐代
临江仙·梅,李清照,宋代
踏莎行·杨柳回塘,贺铸,宋代
西北有高楼,佚名,两汉
山中雪后,郑燮,清代
蝉,李商隐,唐代
七绝·咏蛙,毛泽东,近现代
临江仙·柳絮,曹雪芹,清代
同儿辈赋未开海棠,元好问,金朝
采桑子·塞上咏雪花,纳兰性德,清代
青松,陈毅,近现代
咏华山,寇准,宋代
忆梅,李商隐,唐代
房兵曹胡马诗,杜甫,唐代
咏柳,曾巩,宋代
感遇·江南有丹橘,张九龄,唐代
菊花,唐寅,明代
新竹,郑燮,清代
暗香·旧时月色,姜夔,宋代
曲池荷,卢照邻,唐代
梅花,崔道融,唐代
西江月·梅花,苏轼,宋代
七绝·为李进同志题所摄庐山仙人洞照,毛泽东,近现代
渔家傲·雪里已知春信至,李清照,宋代
紫薇花,杜牧,唐代
潇湘神·斑竹枝,刘禹锡,唐代
咏煤炭,于谦,明代
贺新郎·夏景,苏轼,宋代
孤雁 / 后飞雁,杜甫,唐代
落花,李商隐,唐代
新柳,杨万里,宋代
木兰花慢·可怜今夕月,辛弃疾,宋代
如梦令·道是梨花不是,严蕊,宋代
多丽·咏白菊,李清照,宋代
蜉蝣,佚名,先秦
枯树赋,庾信,南北朝
早雁,杜牧,唐代
怨歌行,班婕妤,两汉
菊花,李商隐,唐代
病牛,李纲,宋代
初秋行圃,杨万里,宋代
六丑·蔷薇谢后作,周邦彦,宋代
普天乐·咏世,张鸣善,元代
早梅,齐己,唐代
定风波·两两轻红半晕腮,苏轼,宋代
铜雀台赋,曹植,两汉
忆秦娥·咏桐,李清照,宋代
榴花 / 题榴花,韩愈,唐代
鹭鸶,杜牧,唐代
杨柳枝词,白居易,唐代
莲叶,郑谷,唐代
咏牡丹,陈与义,宋代
添字丑奴儿·窗前谁种芭蕉树,李清照,宋代
苏幕遮·草,梅尧臣,宋代
疏影·苔枝缀玉,姜夔,宋代
赋得古原草送别(节选),白居易,唐代
病梅馆记,龚自珍,清代
猪肉颂,苏轼,宋代
墨梅,张嵲,宋代
念奴娇·梅,辛弃疾,宋代
牡丹,李商隐,唐代
咏芭蕉,郑燮,清代
题画兰,郑燮,清代
白莲,陆龟蒙,唐代
虞美人·宜州见梅作,黄庭坚,宋代
梅花,王安石,宋代
黄州新建小竹楼记 / 黄州竹楼记,王禹偁,宋代
鹧鸪,郑谷,唐代
早梅,柳宗元,唐代
咏风,王勃,唐代
红梅,王十朋,宋代
咏早梅 / 扬州法曹梅花盛开,何逊,南北朝
浣溪沙·咏橘,苏轼,宋代
莲花,温庭筠,唐代
昭君怨·咏荷上雨,杨万里,宋代
小石城山记,柳宗元,唐代
归雁,钱起,唐代
生查子·重叶梅,辛弃疾,宋代
汉宫春·梅,晁冲之,宋代
咏菊,白居易,唐代
莲藕花叶图,吴师道,元代
虞美人·赋虞美人草,辛弃疾,宋代
梅花,陈亮,宋代
盐角儿·亳社观梅,晁补之,宋代
宫中调笑·团扇,王建,唐代
感遇十二首,张九龄,唐代
解连环·孤雁,张炎,宋代
钴鉧潭西小丘记,柳宗元,唐代
一剪梅·咏柳,夏完淳,明代
鹧鸪天·赏荷,蔡松年,宋代
红牡丹,王维,唐代
鹦鹉,罗隐,唐代
咏雪,郑燮,清代
喜雨亭记,苏轼,宋代
撼庭秋·别来音信千里,晏殊,宋代
子夜四时歌·渊冰厚三尺,佚名,南北朝
梅花绝句·其二,陆游,宋代
点绛唇·咏梅月,陈亮,宋代
流莺,李商隐,唐代
金明池·咏寒柳,柳如是,明代
牡丹,徐凝,唐代
