诗词,id
陋室铭,1
卜算子·咏梅,2
卜算子·咏梅,3
春夜喜雨,4
咏柳 / 柳枝词,5
梅花,6
阿房宫赋,7
草 / 赋得古原草送别,8
竹石,9
墨梅,10
石灰吟,11
题破山寺后禅院,12
水龙吟·次韵章质夫杨花,13
蜂,14
咏鹅,15
菊花,16
咏雪 / 咏雪联句,17
赠从弟·其二,18
山园小梅二首,19
不第后赋菊 / 菊花,20
鹧鸪天·桂花,21
蝉,22
朝天子·咏喇叭,23
画鸡,24
赏牡丹,25
临江仙·寒柳,26
小松,27
白梅,28
题菊花,29
苔,30
咏蝉 / 在狱咏蝉,31
金陵五题·石头城,32
赠荷花,33
梅花绝句二首·其一,34
辛夷坞,35
花影,36
早梅,37
临江仙·梅,38
踏莎行·杨柳回塘,39
西北有高楼,40
山中雪后,41
蝉,42
七绝·咏蛙,43
临江仙·柳絮,44
同儿辈赋未开海棠,45
采桑子·塞上咏雪花,46
青松,47
咏华山,48
忆梅,49
房兵曹胡马诗,50
咏柳,51
感遇·江南有丹橘,52
菊花,53
新竹,54
暗香·旧时月色,55
曲池荷,56
梅花,57
西江月·梅花,58
渔家傲·雪里已知春信至,59
七绝·为李进同志题所摄,60
紫薇花,61
潇湘神·斑竹枝,62
咏煤炭,63
贺新郎·夏景,64
孤雁 / 后飞雁,65
落花,66
新柳,67
木兰花慢·可怜今夕月,68
如梦令·道是梨花不是,69
多丽·咏白菊,70
蜉蝣,71
枯树赋,72
早雁,73
怨歌行,74
菊花,75
病牛,76
初秋行圃,77
六丑·蔷薇谢后作,78
普天乐·咏世,79
早梅,80
定风波·两两轻红半晕腮,81
铜雀台赋,82
忆秦娥·咏桐,83
榴花 / 题榴花,84
鹭鸶,85
杨柳枝词,86
莲叶,87
咏牡丹,88
添字丑奴儿·窗前谁种芭,89
苏幕遮·草,90
疏影·苔枝缀玉,91
赋得古原草送别,92
病梅馆记,93
猪肉颂,94
墨梅,95
念奴娇·梅,96
牡丹,97
咏芭蕉,98
题画兰,99
白莲,100
虞美人·宜州见梅作,101
梅花,102
黄州新建小竹楼记 / ,103
鹧鸪,104
早梅,105
咏风,106
红梅,107
咏早梅 / 扬州法曹梅,108
浣溪沙·咏橘,109
莲花,110
昭君怨·咏荷上雨,111
小石城山记,112
归雁,113
生查子·重叶梅,114
汉宫春·梅,115
咏菊,116
莲藕花叶图,117
虞美人·赋虞美人草,118
梅花,119
盐角儿·亳社观梅,120
感遇十二首,121
宫中调笑·团扇,122
解连环·孤雁,123
钴鉧潭西小丘记,124
一剪梅·咏柳,125
鹧鸪天·赏荷,126
红牡丹,127
鹦鹉,128
咏雪,129
喜雨亭记,130
撼庭秋·别来音信千里,131
子夜四时歌·渊冰厚三尺,132
梅花绝句·其二,133
点绛唇·咏梅月,134
流莺,135
金明池·咏寒柳,136
牡丹,137
忆江南·衔泥燕,138
古柏行,139
卜算子·兰,140
双双燕·咏燕,141
咏同心芙蓉,142
王充道送水仙花五十支,143
卜算子·悼国际共产主义,144
木兰花慢·中秋饮酒,145
朝中措·梅,146
咏山泉 / 山中流泉,147
题小松,148
卖花声·题岳阳楼,149
书院二小松,150
绮罗香·咏春雨,151
落花,152
腊前月季,153
柳枝词,154
李都尉古剑,155
云,156
荷花,157
溪上遇雨二首,158
侍宴咏石榴,159
琴赋,160
齐天乐·蟋蟀,161
五岁咏花,162
薛宝钗咏白海棠,163
醉落魄·咏鹰,164
春日,165
咏白海棠,166
题三义塔,167
岳阳楼,168
落梅,169
咏雪,170
摊破浣溪沙·揉破黄金万,171
品令·茶词,172
江神子·赋梅寄余叔良,173
红梅三首·其一,174
咏牡丹,175
还自广陵,176
香菱咏月·其三,177
蟾宫曲·咏西湖,178
观放白鹰二首,179
霜天晓角·桂花,180
庭前菊,181
野菊,182
齐天乐·蝉,183
微雨,184
未展芭蕉,185
清平乐·雪,186
南轩松,187
鹧鸪天·寻菊花无有戏作,188
五言诗·井,189
无俗念·灵虚宫梨花词,190
洞仙歌·咏柳,191
咏雨,192
定风波·红梅,193
暗香疏影,194
少年游·栏干十二独凭春,195
螃蟹咏,196
莺梭,197
严郑公宅同咏竹,198
点绛唇·素香丁香,199
南中咏雁诗,200
卖残牡丹,201
菊,202
秋莲,203
古风·其二十六,204
咏新竹,205
咏梧桐,206
昭君怨·梅花,207
菊,208
洞仙歌·雪云散尽,209
诉衷情·送春,210
南乡子·梅花词和杨元素,211
八月十二日夜诚斋望月,212
高阳台·西湖春感,213
蝉赋,214
蓦山溪·梅,215
咏蟹 / 咏螃蟹呈浙西,216
念奴娇·闹红一舸,217
望海楼,218
咏初日,219
野菊,220
芦花,221
花犯·小石梅花,222
念奴娇·插天翠柳,223
春居杂兴·两株桃杏映篱,224
踏莎行·雪中看梅花,225
残叶,226
晚桃花,227
牡丹,228
忆秦娥·梅谢了,229
玉楼春·红酥肯放琼苞碎,230
归燕诗,231
闻鹊喜·吴山观涛,232
双双燕·小桃谢后,233
咏萤,234
绵州巴歌,235
乌江,236
卜算子·新柳,237
浣溪沙·杨花,238
点绛唇·梅,239
蝶恋花·笑艳秋莲生绿浦,240
劲草行,241
望江南·咏弦月,242
双井茶送子瞻,243
瓠叶,244
赏春 / 芳草 / 春,245
眉妩·新月,246
题李次云窗竹,247
咏秋柳,248
一丛花·咏并蒂莲,249
柳梢青·茅舍疏篱,250
绮罗香·红叶,251
咏白海棠,252
白燕,253
东风第一枝·咏春雪,254
摸鱼儿·观潮上叶丞相,255
咏秋兰,256
减字木兰花·花,257
水仙子·寻梅,258
咏槿,259
采苓,260
咏桂,261
山鬼谣·问何年,262
萤火,263
咏萤诗,264
群鹤咏,265
燕归梁·风莲,266
观梅有感,267
望岳三首·其二,268
早梅,269
蝶恋花·两岸月桥花半吐,270
野菊,271
玉烛新·白海棠,272
裴给事宅白牡丹,273
疏影·咏荷叶,274
醉桃源·柳,275
绿头鸭·咏月,276
贺新郎·赋琵琶,277
病马,278
香菱咏月·其二,279
鹦鹉赋,280
点绛唇·咏风兰,281
池上,282
咏燕 / 归燕诗,283
大司成颜几圣率同舍招游,284
十一月中旬至扶风界见梅,285
拂舞词 / 公无渡河,286
雨不绝,287
晓过鸳湖,288
天香·咏龙涎香,289
咏愁,290
和袭美木兰后池三咏·白,291
桃花,292
花犯·谢黄复庵除夜寄古,293
浪淘沙·杨花,294
樱桃花,295
慈姥竹,296
咏草,297
贺新郎·和前韵,298
菩萨蛮·春风试手先梅蕊,299
金人捧露盘·水仙花,300
虞美人·影松峦峰,301
垂柳,302
霜天晓角·梅,303
扬州慢·琼花,304
清平乐·检校山园书所见,305
绣鸾凤花犯·赋水仙,306
水龙吟·燕忙莺懒芳残,307
满庭芳·茶,308
临发崇让宅紫薇,309
三绝句,310
洞仙歌·荷花,311
忆秦娥·杨花,312
代迎春花招刘郎中,313
夜游宫·竹窗听雨,314
望海楼晚景五绝,315
菩萨蛮·端午日咏盆中菊,316
牡丹,317
寓居定惠院之东杂花满山,318
醉中天·咏大蝴蝶,319
淡黄柳·咏柳,320
高阳台·落梅,321
少年游·玉壶冰莹兽炉灰,322
沁园春·咏菜花,323
香菱咏月·其一,324
苔,325
疏影·梅影,326
浣溪沙·琴川慧日寺蜡梅,327
梅花落,328
蔷薇花,329
千年调·卮酒向人时,330
卜算子·旅雁向南飞,331
临江仙·孤雁,332
赏牡丹,333
咏春笋,334
南乡子·岸远沙平,335
鼓钟,336
昌谷北园新笋四首,337
思黯南墅赏牡丹,338
浣溪沙·从石楼石壁往来,339
水龙吟·载学士院有之,340
书幽芳亭记,341
临江仙·洞庭波浪颭晴天,342
杨柳,343
